districtid,district
1,Andover School District
4,Avon School District
11,Bloomfield School District
12,Bolton School District
23,Canton School District
40,East Granby School District
43,East Hartford School District
47,East Windsor School District
49,Enfield School District
52,Farmington School District
54,Glastonbury School District
56,Granby School District
64,Hartford School District
67,Hebron School District
77,Manchester School District
79,Marlborough School District
94,Newington School District
119,Rocky Hill School District
128,Simsbury School District
129,Somers School District
132,South Windsor School District
139,Suffield School District
142,Tolland School District
146,Vernon School District
155,West Hartford School District
159,Wethersfield School District
164,Windsor School District
165,Windsor Locks School District
241,Capitol Region Education Council
261,Jumoke Academy District
287,Charter School for Young Children on Asylum Hill
288,Achievement First Hartford Academy Inc.
263,Odyssey Community School District
